"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","authorization","0","login","1","0","Successful login","0"
"0","authorization","0","login","4","0","Invalid login","0"
"0","Purchase","0","Checkout","1","0","Successful purchase","0"
